"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","NOME_CURSO","Sem"
"177","DPEE1062",2021,"2. Semestre","SISTEMAS INTELIGENTES","Reprovado",2,"Ciência da Computação - Bacharelado","DCG"
"178","DPEE1062",2021,"2. Semestre","SISTEMAS INTELIGENTES","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"179","DPEE1085",2022,"1. Semestre","DEEP LEARNING","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"180","DPEE1085",2023,"1. Semestre","DEEP LEARNING","Aprovado",2,"Ciência da Computação - Bacharelado","DCG"
"181","DPEE1085",2018,"1. Semestre","DEEP LEARNING","Aprovado",2,"Ciência da Computação - Bacharelado","DCG"
"182","DPEE1085",2022,"1. Semestre","DEEP LEARNING","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"183","DPEE1085",2023,"1. Semestre","DEEP LEARNING","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"184","DPEE1085",2022,"1. Semestre","DEEP LEARNING","Aprovado",2,"Ciência da Computação - Bacharelado","DCG"
"185","DPEE1085",2020,"2. Semestre","DEEP LEARNING","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"186","DPEE1085",2021,"1. Semestre","DEEP LEARNING","Aprovado",4,"Ciência da Computação - Bacharelado","DCG"
"187","DPEE1085",2018,"1. Semestre","DEEP LEARNING","Repr.Freq",1,"Ciência da Computação - Bacharelado","DCG"
"188","DPEE1085",2021,"1. Semestre","DEEP LEARNING","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"189","DPEE1085",2021,"2. Semestre","DEEP LEARNING","Aprovado",3,"Ciência da Computação - Bacharelado","DCG"
